ID	Name	Level	Examine
0	A'abla	0	Trained to deal with all sorts of injuries.
1	Abbot Langley	0	A holy man.
2	Aberab	0	A huge brutish gorilla. He looks like a jail guard.
8	Achey Tree	0	An interesting tree with long straight branches.
9	Achietties	0	Distinctly heroic.
10	Advisor Ghrim	0	He probably hasn't smiled since the Third Age.
11	Aemad	0	He runs the adventurers' shop.
12	Afflicted(Razmire)	0	A local villager of Mort'ton.
13	Afflicted(Ulsquire)	0	A local villager of Mort'ton.
18	Afrah	0	A citizen of Al-Kharid.
19	Aga	0	A beautiful troll.
20	Aggie	0	A witch.
21	Agility Boss	0	He's in charge of the Agility Course.
22	Agility Trainer	0	A werewolf agility trainer.
23	Agility Trainer	0	Have you brought him the stick yet?
24	Agmundi	0	"She seems to be doing rather well for herself, selling clothes in a palace shop."
25	Agnar	0	One of Rellekka's many citizens.
28	Ak-Haranu	0	A trader from across the eastern sea.
29	Al Shabim	0	He's the leader of the Bedabin tribe.
30	Albatross	0	A sea bird.
31	Alfonse the waiter	0	"Smartly dressed, and ready to deliver food."
32	Ali Morrisane	0	A bazaar merchant.
33	Ali The barman	0	A hassled looking barman.
34	Ali the Camel Man	0	Ali the discount animal seller.
35	Ali the Camel	0	A foul tempered ugly lumpy yellow horse prone to spitting.
36	Ali the Hag	0	An old Hag named Alice.
37	Ali the Kebab seller	0	A kebab seller.
38	Ali the Mayor	0	Mayor of Pollnivneach.
39	Ali the Operator	0	Smooth operator.
40	Ali the Snake Charmer	0	A snake charmer.
41	Alice	0	She sells farming equipment.
43	Almera	0	Nice hair.
45	Alrena	0	She looks concerned.
47	Aluft Gianne	0	It's a tree gnome chef.
48	Ana	0	She looks like a tourist.
49	Ana	0	Stuffed.
51	Anita	0	Glough's girlfriend.
52	Anna	0	She's dressed in a red top and green trousers.
55	Apothecary	0	A dealer in potions.
56	Archaeological expert	0	An expert on archaeology.
57	Archaeologist	0	Hardened by the cutthroat world of archaeology.
58	Archer	0	She looks quite experienced.
61	Arhein	0	He looks fairly well-to-do.
62	Arianwyn	0	An odd looking person.
63	Armour salesman	0	Supplier of Rangers armour.
66	Arzinian Avatar of Magic	0	"It is the avatar of the Arzinian Being of Bordanzan, representing magic."
69	Arzinian Avatar of Ranging	0	"It is the avatar of the Arzinian Being of Bordanzan, representing ranging."
72	Arzinian Avatar of Strength	0	"It is the avatar of the Arzinian Being of Bordanzan, representing strength."
76	Ash	0	Human is his speciality.
78	Askeladden	0	Looks like a wanna be Fremennik.
79	Assistant	0	"Library assistant, to be exact."
82	Aubury	0	Runes are his passion.
83	Audmann	0	He seems to be very well off.
84	Awowogei	0	A rather dapper little monkey.
85	Azzanadra	0	A Mahjarrat warrior.
89	Bailey	0	He smells of fish...
90	Baker	0	So where are the butcher and the candlestick maker?
91	Bald Headed Eagle	0	A big birdy.
93	Bandit Leader	0	Leads the Bandits.
94	Bandit shopkeeper	0	I guess he sells what he steals...?
95	Bandit	0	A tough-looking criminal.
101	Banker	0	A financial expert.
102	Banker	0	A rather personable banker lady.
103	Banker	0	A rather serious old fella.
104	Banker	0	Good with money.
105	Banker	0	He can look after my money.
106	Banker	0	He seems happy to see you.
107	Banker	0	Looks after your money.
108	Banker	0	Manages money momentarily.
110	Baraek	0	Animal skins are a speciality.
111	Barbarian guard	0	Not very civilised looking.
116	Barker	0	Has a distinguished air about him.
117	Barmaid	0	These Dwarf ladies are so attractive!
118	Barman	0	Doesn't water down the beer too much.
119	Barman	0	He serves cocktails.
120	Barman	0	Makes a living off his tips I'm sure.
121	Barricade	0	A spiky barricade.
122	Bartender	0	I could get a beer from him.
123	Bartender	0	Looks like a rough and ready type.
133	Bed	0	"It's a fairly ordinary bed, but..."
135	Bedabin Nomad Guard	0	A bedabin nomad guard - it looks like he's protecting an area.
136	Bedabin Nomad	0	"A bedabin nomad, they live in the harshest extremes in the desert."
137	Beggar	0	He looks very hungry...
138	Bentamir	0	This dwarf doesn't seem to be very well off.
140	Betty	0	She seems like a nice sort of person.
141	Big Dave	0	I can see how he got his name.
142	Big fish	0	A big fish with a bigger mouth.
145	Billy Rehnison	0	The Rehnisons' eldest son.
146	Billy	0	Billy is a baahd goat.
150	Bjorn	0	Looks like he's having fun!
153	Black Guard Berserker	0	A dwarven enforcer.
158	Black Knight	0	One of the Black Knights.
162	Blasidar the sculptor	0	Makes sculptures.
165	Bloated Toad	0	A green skinned croaker.
170	Blue Opal Director	0	"One of the leaders of the business Consortium, a ruler of Keldagrim."
171	Blue Opal Secretary	0	The head secretary of the Blue Opal mining company.
172	Blurberry	0	He seems to run the cocktail bar.
173	Bob	0	An expert on axes.
174	Bob	0	He's dressed all in red.
175	Bob	0	The Jagex cat.
176	Bolkoy	0	It's a tree gnome.
177	Bonzara	0	A small monkey dressed in purple clothes. He looks like a priest.
178	Bonzo	0	The Fishing Contest judge.
179	Boot	0	A short angry guy.
180	Border Guard	0	Guards the border.
182	Boulder	0	I wonder what this is doing here.
183	Boulder	0	Precariously balanced....
185	Bow and Arrow salesman	0	Supplier of Archery equipment.
186	Boy	0	A sad looking child...
187	Bravek	0	The city warder of West Ardougne.
189	Brian O'Richard	0	Head of the maze.
190	Brian	0	An expert on axes.
191	Brian	0	He sells ranging equipment.
192	Brimstail	0	Small but powerful.
194	Broken clay golem	0	An animated clay statue with a lot of clay missing.
196	Bronze pickaxe	0	Useful for hitting rocks.
197	Brother Brace	0	A holy man.
198	Brother Cedric	0	An old drunk monk.
199	Brother Jered	0	A holy man.
200	Brother Kojo	0	A peaceful monk.
201	Brother Omad	0	An old monk.
202	Brown Engine Director	0	"One of the leaders of the business Consortium, a ruler of Keldagrim."
203	Brown Engine Secretary	0	The head secretary of the Brown Engine mining company.
205	Brundt the Chieftain	0	The Fremennik tribe's chieftain.
206	Bugs	0	This must be Rantz's son.
207	Bunkdo	0	A seasoned looking Gnome foot soldier.
208	Bunkwicket	0	This Gnome is busy applying some kind of pasty material to the cave walls.
210	Burntmeat	0	Human is his speciality.
211	Butler Jones	0	The Carnillean family butler.
212	Butterfly	0	Flutter by oh butterfly.
213	Butterfly	0	I love butterflies.
214	Butterfly	0	It's a Blue Morpho Butterfly.
215	Butterfly	0	It's a Tiger Swallowtail Butterfly.
216	Butterfly	0	It's a Viceroy Butterfly.
217	Butterfly	0	These look much better in the wild.
218	Cabin Boy Jenkins	0	His job is to keep the ship in tip-top condition!
219	Caleb	0	A well dressed nobleman.
220	Camel	0	"Oh, it's a camel."
223	Candle maker	0	Has an odd smell about him.
224	Candle seller	0	Has an odd smell about him.
225	Cap'n Izzy No-Beard	0	Entrance clerk for the Brimhaven Agility Arena.
226	Capt' Arnav	0	Distinctly piratey.
227	Captain Barnaby	0	An old sailor.
228	Captain Rovin	0	The head of the palace guard.
229	Captain Shanks	0	He's the Captain of the 'Lady of the Waves'.
230	Captain Siad	0	He's in control of the whole mining camp.
231	Captain Tobias	0	An old sea dog.
232	Carado	0	A seasoned looking Gnome foot soldier.
233	Carla	0	She looks upset.
234	Carol	0	She's wearing a blue top and red trousers.
235	Caroline	0	She looks very worried about something.
236	Carpenter	0	A block of a man.
237	Cart conductor	0	He makes sure the carts don't run anyone over.
238	Cart conductor	0	Keeps the line clear of traffic.
239	Cart conductor	0	Remember: don't drink and ride in mine carts.
240	Cassie	0	Nice eyes.
241	Cat	0	A fully grown feline.
242	Cave bug larva	0	A little slimy beetle-thing.
250	Cave monk	0	Unsurprisingly monk like.
253	Ceril Carnillean	0	Head of the Carnillean household.
254	Chadwell	0	Shop keeper.
255	Chaeldar	0	She looks dangerous!
256	Chamber guardian	0	He hasn't seen much sun lately.
257	Chancy	0	He's ready for a bet.
261	Charlie the cook	0	Distinctly cook-like.
262	Charlie	0	"Poor guy, he looks frightened."
263	Cheerleader	0	Cheerleading is a real sport!
264	Chemist	0	Smells very chemically...
265	Chicken	0	A strange chicken.
268	Child	0	One of RuneScape's many citizens.
269	Chompy bird	0	"A once boisterous bird, closer to being an ogre delicacy."
274	Civilian	0	A citizen of Ardougne.
275	Claus the chef	0	The Carnillean family chef.
276	Clay golem	0	An animated clay statue.
277	Clerk	0	A bureaucratic administrator.
282	Commander Montai	0	It's a tree gnome.
283	Commander Veldaban	0	"Veldaban, Commander of the Black Guard in Keldagrim."
284	Competition Judge	0	Overseer of the Archery competition.
285	Cook	0	Human is his speciality.
286	Cook	0	The head cook of Lumbridge castle.
287	Cormorant	0	A sea bird.
288	Corpse	0	Well at least he doesn't have to worry about getting black lung.
289	Council workman	0	Supposedly fixes things around RuneScape.
290	Councillor Halgrive	0	An official of Ardougne.
299	Crate	0	Can I hear kittens?
309	Crone	0	A crone.
310	Crow	0	Farmers' enemy...
313	Curator	0	He runs the museum.
314	Curpile Fyod	0	"A typical, if overly heavy handed, jobs worth guard."
315	Customer	0	A customer looking for books.
316	Customer	0	Looks like a human traveler visiting the library.
317	Customs officer	0	Inspects peoples' packages.
319	Cyreg Paddlehorn	0	A tall and imposing man who's more than familiar with boating.
320	Da Vinci	0	He has a colourful personality.
322	Daero	0	Daero gives off an easy sense of authority.
323	Daga	0	A shrewd-looking monkey swordsmith.
328	Dalal	0	A citizen of Al-Kharid.
329	Damaged clay golem	0	An animated clay statue with some clay missing.
332	Dark mage	0	A dark magic user.
333	Dark mage	0	An initiate of Zamorak.
337	Darren	0	A very brave merchant.
338	David	0	He's dressed all in green.
339	Davon	0	An amulet trader.
340	Dead tree	0	It's only useful for firewood now.
341	Dead tree	0	This tree has long been dead.
347	Denadu	0	"A small, well dressed monkey clasping a mace. He looks like a priest."
348	Denulth	0	Commander of the Imperial Guard.
349	Derni	0	He seems deeply engaged in conversation with his fellow boatmen.
350	Dernu	0	He seems deeply engaged in conversation with his fellow boatmen.
351	Derrik	0	Smithy for Sogthorpe.
352	Desert Phoenix	0	Definitely not a chicken.
357	Diango	0	He smells funny.
358	Digsite workman	0	This person is working on the site.
359	Dimintheis	0	A well dressed nobleman.
361	Doctor Orbon	0	A serious-looking doctor.
362	Dog	0	Bow wow.
363	Dommik	0	"If crafting's your thing, he's your man!"
364	Dondakan the Dwarf	0	"A short, old and gold loving guy."
365	Donie	0	A local farmer. She may be able to provide some useful information.
367	Donovan the Family Handyman	0	He looks very tired...
369	Door man	0	What a boring job he has.
370	Doric	0	A dwarf smith. Quite handy with a hammer.
371	Dr Fenkenstrain	0	Dr Fenkenstrain I presume.
372	Dr Harlow	0	A retired vampire hunter.
373	Dramen tree	0	An ancient magical tree.
374	Drezel	0	A holy man.
375	Drogo dwarf	0	He runs a mining store.
376	Dromund	0	What an eccentric little fellow!
377	Dromund's cat	0	Very protective of his master... and his property.
379	Drunken Ali	0	Drunk man.
380	Drunken Dwarf	0	He's had a fair bit to drink...
385	Dugopul	0	A large hairy monkey with a spade.
386	Duke Horacio	0	Duke Horacio of Lumbridge.
388	Dung	0	Human is his speciality.
391	Dunstan	0	Smithy for Burthorpe.
392	Duradel	0	He looks dangerous!
394	Dwarf Commander	0	He guards the mines.
398	Dwarf youngster	0	A young Dwarf lad.
399	Dwarf	0	A dwarf who looks after the mining guild.
400	Dwarf	0	I wonder if he wants to buy my junk?
404	Dwarven Boatman	0	He seems to be in charge of the ship on the river.
405	Dwarven Boatman	0	His ship miraculously survived the crash into the statue earlier.
406	Dwarven Boatman	0	"You cannot see his ship, but presumably he has one."
407	Dwarven Engineer	0	A short angry guy.
408	Dwarven Ferryman	0	It's probably you who will be paying the ferryman.
409	Dwarven Miner	0	He carries a heavy load.
410	Dwarven Miner	0	He's delivered his ores.
412	Eadgar	0	A rather mad looking hermit.
415	Easter Bunny	0	Cute and friendly.
416	Eblis	0	A very distinguished looking man.
418	Edmond	0	A local civilian.
419	Edmond	0	A very brave merchant.
420	Edward	0	A very brave merchant.
422	Elder Guard	0	"A huge brutish gorilla stands here, blocking the way."
423	Eldgrim	0	He's only as think as you drunk he is!
424	Elf Tracker	0	An elf tracker.
425	Elf warrior	0	He looks pretty handy with that bow.
428	Elissa	0	An old archaeologist.
429	Elizabeth	0	She's wearing a green top and blue trousers.
430	Elkoy	0	It's a tree gnome.
431	Eluned	0	Wow - the prettiest elf I have ever seen.
433	Elven city guard	0	An elven city guard.
434	Embalmer	0	A strange-smelling merchant.
435	Emerald Benedict	0	A rich banker man... Some say too rich.
436	Emily	0	Works in the Rising Sun.
439	Eohric	0	Head servant for Prince Anlaf.
440	Ernest	0	A former chicken.
441	Escaping slave	0	He's making a break for it!
442	Essyllt	0	An elven war band leader.
443	Evergreen	0	A hardy evergreen tree.
444	Evergreen	0	This would make good firewood.
445	Examiner	0	Upon examining the examiner you examine it is indeed an examiner!
448	Factory Manager	0	Looks after the factory.
449	Factory Worker	0	Works hard at whatever it is he does.
450	Fadli	0	Looks kinda bored.
451	Fairy Queen	0	Looks otherworldy...
452	Fairy shop assistant	0	Sells stuff.
453	Fairy shop keeper	0	Sells stuff.
454	Fairy	0	A delicate creature from this strange realm.
455	Fairy	0	Looks strange and mysterious.
456	Fancy dress shop owner	0	For the interesting clothing items you just can't find elsewhere.
458	Farmer Brumty	0	A farmer who's seen happier times.
459	Farmer	0	Farming the wheat.
460	Farmer	0	Farming.
461	Farmer	0	He's cutting the wheat.
463	Fat Tony	0	An expert on Pizzas. Both making and eating.
464	Father Aereck	0	Looks a bit holy.
465	Father Lawrence	0	A religious man... And occasional drunk.
466	Father Urhney	0	Looks very holy.
467	Female slave	0	She looks like she's been down here a long time.
468	Femi	0	A gnome trader.
469	Fenkenstrain's Monster	0	A hideous mix of human flesh.
470	Fernahei	0	This is Fernahei - he owns the local fishing tackle shop.
471	Fidelio	0	A lycanthrope shopkeeper.
472	Fightslave	0	A fightslave. He looks mistreated and weak.
473	Filliman Tarlock	0	The animated spirit of a soul not at rest.
474	Financial Advisor	0	An official representative from the First National Bank of RuneScape.
475	Fionella	0	She sells general items at the Legends Guild.
479	Fish monger	0	Fish-tastic!
480	Fisherman Frodi	0	There's something fishy about him.
481	Fisherman	0	He smells of salty fish.
482	Fisherman	0	It's a fisherman.
483	Fisherman	0	Something fishy about him...
484	Fisherman	0	There's something fishy about this guy.
485	Fishing spot	0	I can fish here.
486	Fishing spot	0	I can see eels swimming in the lava.
487	Fishing spot	0	I can see fish swimming in the water.
488	Fishing spot	0	I can see 'things' swimming in the water.
489	Fishing spot	0	Something dark green is lurking in these waters.
490	Fishing spot	0	There are brightly coloured fish swimming in the water.
491	Fishmonger	0	"Hmm, he smells."
494	Flower Girl	0	No-one would mistake her for a duchess.
495	Fly trap	0	No flies on me.
496	Flynn	0	The mace salesman.
497	Foreman	0	The boss!
499	Forester	0	He likes to cut down trees.
502	Fossegrimen	0	A powerful spirit that lives in this lake.
503	Fox	0	Foxy.
504	Frank	0	He's dressed all in blue.
505	Fred the Farmer	0	A well fed looking farmer.
507	Frenita	0	A recipe for success...in cooking.
509	Fridgeir	0	A music lover?
510	Frincos	0	Kind of funny looking.
511	Frog	0	It eats flies.
